timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.7291E+12,227,HTTP Request,200,OK,SauceDemo_Users 1-4,text,TRUE,,3950,242,6,6,https://www.saucedemo.com/,45,0,26
1.7291E+12,45,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-4,text,TRUE,,658,121,6,6,http://www.saucedemo.com/,45,0,26
1.7291E+12,181,HTTP Request-1,200,OK,SauceDemo_Users 1-4,text,TRUE,,3292,121,6,6,https://www.saucedemo.com/,181,0,57
1.7291E+12,525,HTTP Request,200,OK,SauceDemo_Users 1-1,text,TRUE,,3951,242,5,5,https://www.saucedemo.com/,130,0,104
1.7291E+12,130,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-1,text,TRUE,,658,121,5,5,http://www.saucedemo.com/,130,0,104
1.7291E+12,394,HTTP Request-1,200,OK,SauceDemo_Users 1-1,text,TRUE,,3293,121,5,5,https://www.saucedemo.com/,394,0,118
1.7291E+12,321,HTTP Request,200,OK,SauceDemo_Users 1-3,text,TRUE,,3948,242,5,5,https://www.saucedemo.com/,71,0,37
1.7291E+12,71,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-3,text,TRUE,,655,121,5,5,http://www.saucedemo.com/,71,0,37
1.7291E+12,249,HTTP Request-1,200,OK,SauceDemo_Users 1-3,text,TRUE,,3293,121,5,5,https://www.saucedemo.com/,249,0,63
1.7291E+12,433,HTTP Request,200,OK,SauceDemo_Users 1-2,text,TRUE,,3950,242,3,3,https://www.saucedemo.com/,97,0,36
1.7291E+12,97,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-2,text,TRUE,,657,121,3,3,http://www.saucedemo.com/,97,0,36
1.7291E+12,336,HTTP Request-1,200,OK,SauceDemo_Users 1-2,text,TRUE,,3293,121,3,3,https://www.saucedemo.com/,336,0,88
1.7291E+12,231,HTTP Request,200,OK,SauceDemo_Users 1-5,text,TRUE,,3949,242,3,3,https://www.saucedemo.com/,120,0,39
1.7291E+12,120,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-5,text,TRUE,,658,121,3,3,http://www.saucedemo.com/,120,0,39
1.7291E+12,109,HTTP Request-1,200,OK,SauceDemo_Users 1-5,text,TRUE,,3291,121,3,3,https://www.saucedemo.com/,109,0,89
1.7291E+12,207,HTTP Request,200,OK,SauceDemo_Users 1-6,text,TRUE,,3946,242,3,3,https://www.saucedemo.com/,81,0,45
1.7291E+12,81,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-6,text,TRUE,,655,121,3,3,http://www.saucedemo.com/,81,0,45
1.7291E+12,125,HTTP Request-1,200,OK,SauceDemo_Users 1-6,text,TRUE,,3291,121,3,3,https://www.saucedemo.com/,125,0,61
1.7291E+12,194,HTTP Request,200,OK,SauceDemo_Users 1-7,text,TRUE,,3946,242,2,2,https://www.saucedemo.com/,51,0,27
1.7291E+12,51,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-7,text,TRUE,,655,121,2,2,http://www.saucedemo.com/,51,0,27
1.7291E+12,142,HTTP Request-1,200,OK,SauceDemo_Users 1-7,text,TRUE,,3291,121,2,2,https://www.saucedemo.com/,142,0,104
1.7291E+12,213,HTTP Request,200,OK,SauceDemo_Users 1-8,text,TRUE,,3948,242,3,3,https://www.saucedemo.com/,43,0,21
1.7291E+12,43,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-8,text,TRUE,,657,121,3,3,http://www.saucedemo.com/,43,0,21
1.7291E+12,169,HTTP Request-1,200,OK,SauceDemo_Users 1-8,text,TRUE,,3291,121,3,3,https://www.saucedemo.com/,169,0,67
1.7291E+12,195,HTTP Request,200,OK,SauceDemo_Users 1-9,text,TRUE,,3949,242,2,2,https://www.saucedemo.com/,112,0,45
1.7291E+12,112,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-9,text,TRUE,,658,121,2,2,http://www.saucedemo.com/,112,0,45
1.7291E+12,82,HTTP Request-1,200,OK,SauceDemo_Users 1-9,text,TRUE,,3291,121,2,2,https://www.saucedemo.com/,82,0,61
1.7291E+12,140,HTTP Request,200,OK,SauceDemo_Users 1-10,text,TRUE,,3946,242,1,1,https://www.saucedemo.com/,52,0,28
1.7291E+12,52,HTTP Request-0,301,Moved Permanently,SauceDemo_Users 1-10,text,TRUE,,655,121,1,1,http://www.saucedemo.com/,52,0,28
1.7291E+12,87,HTTP Request-1,200,OK,SauceDemo_Users 1-10,text,TRUE,,3291,121,1,1,https://www.saucedemo.com/,87,0,63
